Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
x1,Naturen och människan,Henrik Ohlsson,"Ohlsson, Henrik",,"=""""","=""9789127183759""",3,0.0,Natur & Kultur,Hardcover,200,2024,,2025/08/29,2025/03/13,"human-evolution, politics, history, philosophy, read",,,,,,3,0
x2,Fursten,Niccolò Machiavelli,"Machiavelli, Nicholò",,,9789127183995,,,Natur & Kultur,Hardcover,196,2008,1532,,,"politics, political-philosophy",,,,,,,
